Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
428404,435726,2,2014-01-28,18:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
432248,427099,3,2014-01-28,18:28:00,Motorway,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,38
429003,433572,1,2014-01-29,17:20:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,70
427456,438577,1,2014-01-30,19:00:00,A,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,18
429929,437044,2,2014-01-31,15:06:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,34
436564,435578,2,2014-01-31,15:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,34
429791,433962,1,2014-01-31,21:12:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,26
430493,433709,1,2014-02-01,15:15:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Male,81
426571,433921,2,2014-02-01,17:28:00,Unclassified,Wet/Damp,Darkness: No street lighting,Other,Pedal cycle,Driver,Slight,Male,26
423895,434277,2,2014-02-01,17:40:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,53
421728,433535,1,2014-02-01,15:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Goods vehicle,Pedestrian,Slight,Male,24
429798,433788,2,2014-02-01,00:35:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,50
429798,433788,2,2014-02-01,00:35:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,34
424472,445188,2,2014-02-01,10:15:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,41
423802,437485,2,2014-02-02,01:25:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,28
424112,428080,1,2014-02-02,15:31:00,Motorway,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,28
431417,434087,2,2014-02-02,07:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Serious,Male,64
435892,436311,3,2014-02-02,12:10:00,A,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle,Driver,Slight,Male,46
423802,437485,2,2014-02-02,01:25:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,45
